,DATE_NAME,GEOGRAPHY_NAME,GEOGRAPHY_CODE,VARIABLE_NAME,MEASURES_NAME,OBS_VALUE,OBS_STATUS_NAME
37,Jan 2015-Dec 2015,Ashford,E30000160,% with no qualifications (NVQ) - aged 16-64,Numerator,7800.0,Normal Value
38,Jan 2015-Dec 2015,Ashford,E30000160,% with no qualifications (NVQ) - aged 16-64,Denominator,73000.0,Normal Value
39,Jan 2015-Dec 2015,Ashford,E30000160,% with no qualifications (NVQ) - aged 16-64,Confidence,4.6,Normal Value
40,Jan 2015-Dec 2015,Banbury,E30000161,Economic activity rate - aged 16-64,Variable,79.3,Normal Value
41,Jan 2015-Dec 2015,Banbury,E30000161,Economic activity rate - aged 16-64,Numerator,58300.0,Normal Value
42,Jan 2015-Dec 2015,Banbury,E30000161,Economic activity rate - aged 16-64,Denominator,73600.0,Normal Value
43,Jan 2015-Dec 2015,Banbury,E30000161,Economic activity rate - aged 16-64,Confidence,5.7,Normal Value
44,Jan 2015-Dec 2015,Banbury,E30000161,Employment rate - aged 16-64,Variable,78.1,Normal Value
45,Jan 2015-Dec 2015,Banbury,E30000161,Employment rate - aged 16-64,Numerator,57500.0,Normal Value
46,Jan 2015-Dec 2015,Banbury,E30000161,Employment rate - aged 16-64,Denominator,73600.0,Normal Value
47,Jan 2015-Dec 2015,Banbury,E30000161,Employment rate - aged 16-64,Confidence,5.8,Normal Value
48,Jan 2015-Dec 2015,Banbury,E30000161,Unemployment rate - aged 16-64 ,Variable,,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
49,Jan 2015-Dec 2015,Banbury,E30000161,Unemployment rate - aged 16-64 ,Numerator,,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
50,Jan 2015-Dec 2015,Banbury,E30000161,Unemployment rate - aged 16-64 ,Denominator,58300.0,Normal Value
51,Jan 2015-Dec 2015,Banbury,E30000161,Unemployment rate - aged 16-64 ,Confidence,,Estimate and confidence interval not available since the group sample size is zero or disclosive (0-2)
52,Jan 2015-Dec 2015,Banbury,E30000161,% with NVQ4+ - aged 16-64,Variable,32.0,Normal Value
53,Jan 2015-Dec 2015,Banbury,E30000161,% with NVQ4+ - aged 16-64,Numerator,23400.0,Normal Value
54,Jan 2015-Dec 2015,Banbury,E30000161,% with NVQ4+ - aged 16-64,Denominator,73300.0,Normal Value
55,Jan 2015-Dec 2015,Banbury,E30000161,% with NVQ4+ - aged 16-64,Confidence,6.6,Normal Value
56,Jan 2015-Dec 2015,Banbury,E30000161,% with no qualifications (NVQ) - aged 16-64,Variable,7.2,Normal Value
57,Jan 2015-Dec 2015,Banbury,E30000161,% with no qualifications (NVQ) - aged 16-64,Numerator,5300.0,Normal Value
58,Jan 2015-Dec 2015,Banbury,E30000161,% with no qualifications (NVQ) - aged 16-64,Denominator,73300.0,Normal Value
59,Jan 2015-Dec 2015,Banbury,E30000161,% with no qualifications (NVQ) - aged 16-64,Confidence,3.6,Normal Value
60,Jan 2015-Dec 2015,Barnsley,E30000004,Economic activity rate - aged 16-64,Variable,77.8,Normal Value
61,Jan 2015-Dec 2015,Barnsley,E30000004,Economic activity rate - aged 16-64,Numerator,125700.0,Normal Value
62,Jan 2015-Dec 2015,Barnsley,E30000004,Economic activity rate - aged 16-64,Denominator,161700.0,Normal Value
63,Jan 2015-Dec 2015,Barnsley,E30000004,Economic activity rate - aged 16-64,Confidence,2.4,Normal Value
64,Jan 2015-Dec 2015,Barnsley,E30000004,Employment rate - aged 16-64,Variable,73.2,Normal Value
65,Jan 2015-Dec 2015,Barnsley,E30000004,Employment rate - aged 16-64,Numerator,118300.0,Normal Value
66,Jan 2015-Dec 2015,Barnsley,E30000004,Employment rate - aged 16-64,Denominator,161700.0,Normal Value
67,Jan 2015-Dec 2015,Barnsley,E30000004,Employment rate - aged 16-64,Confidence,2.6,Normal Value
68,Jan 2015-Dec 2015,Barnsley,E30000004,Unemployment rate - aged 16-64 ,Variable,5.9,Normal Value
69,Jan 2015-Dec 2015,Barnsley,E30000004,Unemployment rate - aged 16-64 ,Numerator,7400.0,Normal Value
70,Jan 2015-Dec 2015,Barnsley,E30000004,Unemployment rate - aged 16-64 ,Denominator,125700.0,Normal Value
71,Jan 2015-Dec 2015,Barnsley,E30000004,Unemployment rate - aged 16-64 ,Confidence,1.6,Normal Value
72,Jan 2015-Dec 2015,Barnsley,E30000004,% with NVQ4+ - aged 16-64,Variable,23.6,Normal Value
73,Jan 2015-Dec 2015,Barnsley,E30000004,% with NVQ4+ - aged 16-64,Numerator,37800.0,Normal Value
74,Jan 2015-Dec 2015,Barnsley,E30000004,% with NVQ4+ - aged 16-64,Denominator,160400.0,Normal Value
75,Jan 2015-Dec 2015,Barnsley,E30000004,% with NVQ4+ - aged 16-64,Confidence,2.5,Normal Value
76,Jan 2015-Dec 2015,Barnsley,E30000004,% with no qualifications (NVQ) - aged 16-64,Variable,10.9,Normal Value
77,Jan 2015-Dec 2015,Barnsley,E30000004,% with no qualifications (NVQ) - aged 16-64,Numerator,17500.0,Normal Value
78,Jan 2015-Dec 2015,Barnsley,E30000004,% with no qualifications (NVQ) - aged 16-64,Denominator,160400.0,Normal Value
79,Jan 2015-Dec 2015,Barnsley,E30000004,% with no qualifications (NVQ) - aged 16-64,Confidence,1.8,Normal Value
80,Jan 2015-Dec 2015,Barnstaple,E30000162,Economic activity rate - aged 16-64,Variable,81.2,Normal Value
81,Jan 2015-Dec 2015,Barnstaple,E30000162,Economic activity rate - aged 16-64,Numerator,46000.0,Normal Value
82,Jan 2015-Dec 2015,Barnstaple,E30000162,Economic activity rate - aged 16-64,Denominator,56600.0,Normal Value
83,Jan 2015-Dec 2015,Barnstaple,E30000162,Economic activity rate - aged 16-64,Confidence,7.0,Normal Value
84,Jan 2015-Dec 2015,Barnstaple,E30000162,Employment rate - aged 16-64,Variable,78.9,Normal Value
85,Jan 2015-Dec 2015,Barnstaple,E30000162,Employment rate - aged 16-64,Numerator,44600.0,Normal Value
86,Jan 2015-Dec 2015,Barnstaple,E30000162,Employment rate - aged 16-64,Denominator,56600.0,Normal Value
87,Jan 2015-Dec 2015,Barnstaple,E30000162,Employment rate - aged 16-64,Confidence,7.3,Normal Value
88,Jan 2015-Dec 2015,Barnstaple,E30000162,Unemployment rate - aged 16-64 ,Variable,2.9,Normal Value
89,Jan 2015-Dec 2015,Barnstaple,E30000162,Unemployment rate - aged 16-64 ,Numerator,1300.0,Normal Value
90,Jan 2015-Dec 2015,Barnstaple,E30000162,Unemployment rate - aged 16-64 ,Denominator,46000.0,Normal Value
91,Jan 2015-Dec 2015,Barnstaple,E30000162,Unemployment rate - aged 16-64 ,Confidence,,Estimate and confidence interval unreliable since the group sample size is small (3-9)
92,Jan 2015-Dec 2015,Barnstaple,E30000162,% with NVQ4+ - aged 16-64,Variable,25.5,Normal Value
93,Jan 2015-Dec 2015,Barnstaple,E30000162,% with NVQ4+ - aged 16-64,Numerator,14300.0,Normal Value
94,Jan 2015-Dec 2015,Barnstaple,E30000162,% with NVQ4+ - aged 16-64,Denominator,56200.0,Normal Value
95,Jan 2015-Dec 2015,Barnstaple,E30000162,% with NVQ4+ - aged 16-64,Confidence,7.8,Normal Value
96,Jan 2015-Dec 2015,Barnstaple,E30000162,% with no qualifications (NVQ) - aged 16-64,Variable,4.6,Normal Value
97,Jan 2015-Dec 2015,Barnstaple,E30000162,% with no qualifications (NVQ) - aged 16-64,Numerator,2600.0,Normal Value
98,Jan 2015-Dec 2015,Barnstaple,E30000162,% with no qualifications (NVQ) - aged 16-64,Denominator,56200.0,Normal Value
99,Jan 2015-Dec 2015,Barnstaple,E30000162,% with no qualifications (NVQ) - aged 16-64,Confidence,,Estimate and confidence interval unreliable since the group sample size is small (3-9)
100,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Economic activity rate - aged 16-64,Variable,77.6,Normal Value
101,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Economic activity rate - aged 16-64,Numerator,46300.0,Normal Value
102,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Economic activity rate - aged 16-64,Denominator,59600.0,Normal Value
103,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Economic activity rate - aged 16-64,Confidence,5.7,Normal Value
104,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Employment rate - aged 16-64,Variable,72.0,Normal Value
105,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Employment rate - aged 16-64,Numerator,42900.0,Normal Value
106,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Employment rate - aged 16-64,Denominator,59600.0,Normal Value
107,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Employment rate - aged 16-64,Confidence,6.1,Normal Value
108,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Unemployment rate - aged 16-64 ,Variable,7.2,Normal Value
109,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Unemployment rate - aged 16-64 ,Numerator,3400.0,Normal Value
110,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Unemployment rate - aged 16-64 ,Denominator,46300.0,Normal Value
111,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,Unemployment rate - aged 16-64 ,Confidence,4.0,Normal Value
112,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with NVQ4+ - aged 16-64,Variable,24.9,Normal Value
113,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with NVQ4+ - aged 16-64,Numerator,14800.0,Normal Value
114,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with NVQ4+ - aged 16-64,Denominator,59300.0,Normal Value
115,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with NVQ4+ - aged 16-64,Confidence,5.9,Normal Value
116,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with no qualifications (NVQ) - aged 16-64,Variable,7.6,Normal Value
117,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with no qualifications (NVQ) - aged 16-64,Numerator,4500.0,Normal Value
118,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with no qualifications (NVQ) - aged 16-64,Denominator,59300.0,Normal Value
119,Jan 2015-Dec 2015,Barrow-in-Furness,E30000163,% with no qualifications (NVQ) - aged 16-64,Confidence,3.6,Normal Value
120,Jan 2015-Dec 2015,Basingstoke,E30000164,Economic activity rate - aged 16-64,Variable,84.2,Normal Value
121,Jan 2015-Dec 2015,Basingstoke,E30000164,Economic activity rate - aged 16-64,Numerator,131900.0,Normal Value
122,Jan 2015-Dec 2015,Basingstoke,E30000164,Economic activity rate - aged 16-64,Denominator,156600.0,Normal Value
123,Jan 2015-Dec 2015,Basingstoke,E30000164,Economic activity rate - aged 16-64,Confidence,3.6,Normal Value
124,Jan 2015-Dec 2015,Basingstoke,E30000164,Employment rate - aged 16-64,Variable,80.2,Normal Value
125,Jan 2015-Dec 2015,Basingstoke,E30000164,Employment rate - aged 16-64,Numerator,125500.0,Normal Value
126,Jan 2015-Dec 2015,Basingstoke,E30000164,Employment rate - aged 16-64,Denominator,156600.0,Normal Value
127,Jan 2015-Dec 2015,Basingstoke,E30000164,Employment rate - aged 16-64,Confidence,3.9,Normal Value
128,Jan 2015-Dec 2015,Basingstoke,E30000164,Unemployment rate - aged 16-64 ,Variable,4.9,Normal Value
129,Jan 2015-Dec 2015,Basingstoke,E30000164,Unemployment rate - aged 16-64 ,Numerator,6400.0,Normal Value
130,Jan 2015-Dec 2015,Basingstoke,E30000164,Unemployment rate - aged 16-64 ,Denominator,131900.0,Normal Value
131,Jan 2015-Dec 2015,Basingstoke,E30000164,Unemployment rate - aged 16-64 ,Confidence,2.3,Normal Value
132,Jan 2015-Dec 2015,Basingstoke,E30000164,% with NVQ4+ - aged 16-64,Variable,44.9,Normal Value
133,Jan 2015-Dec 2015,Basingstoke,E30000164,% with NVQ4+ - aged 16-64,Numerator,70300.0,Normal Value
134,Jan 2015-Dec 2015,Basingstoke,E30000164,% with NVQ4+ - aged 16-64,Denominator,156600.0,Normal Value
135,Jan 2015-Dec 2015,Basingstoke,E30000164,% with NVQ4+ - aged 16-64,Confidence,4.9,Normal Value
136,Jan 2015-Dec 2015,Basingstoke,E30000164,% with no qualifications (NVQ) - aged 16-64,Variable,6.3,Normal Value
137,Jan 2015-Dec 2015,Basingstoke,E30000164,% with no qualifications (NVQ) - aged 16-64,Numerator,9900.0,Normal Value
138,Jan 2015-Dec 2015,Basingstoke,E30000164,% with no qualifications (NVQ) - aged 16-64,Denominator,156600.0,Normal Value
139,Jan 2015-Dec 2015,Basingstoke,E30000164,% with no qualifications (NVQ) - aged 16-64,Confidence,2.4,Normal Value
140,Jan 2015-Dec 2015,Bath,E30000165,Economic activity rate - aged 16-64,Variable,79.2,Normal Value
141,Jan 2015-Dec 2015,Bath,E30000165,Economic activity rate - aged 16-64,Numerator,83800.0,Normal Value
142,Jan 2015-Dec 2015,Bath,E30000165,Economic activity rate - aged 16-64,Denominator,105800.0,Normal Value
143,Jan 2015-Dec 2015,Bath,E30000165,Economic activity rate - aged 16-64,Confidence,2.5,Normal Value
144,Jan 2015-Dec 2015,Bath,E30000165,Employment rate - aged 16-64,Variable,76.2,Normal Value
145,Jan 2015-Dec 2015,Bath,E30000165,Employment rate - aged 16-64,Numerator,80600.0,Normal Value
146,Jan 2015-Dec 2015,Bath,E30000165,Employment rate - aged 16-64,Denominator,105800.0,Normal Value
147,Jan 2015-Dec 2015,Bath,E30000165,Employment rate - aged 16-64,Confidence,2.6,Normal Value
148,Jan 2015-Dec 2015,Bath,E30000165,Unemployment rate - aged 16-64 ,Variable,3.8,Normal Value
149,Jan 2015-Dec 2015,Bath,E30000165,Unemployment rate - aged 16-64 ,Numerator,3200.0,Normal Value
150,Jan 2015-Dec 2015,Bath,E30000165,Unemployment rate - aged 16-64 ,Denominator,83800.0,Normal Value
151,Jan 2015-Dec 2015,Bath,E30000165,Unemployment rate - aged 16-64 ,Confidence,1.3,Normal Value
152,Jan 2015-Dec 2015,Bath,E30000165,% with NVQ4+ - aged 16-64,Variable,46.4,Normal Value
153,Jan 2015-Dec 2015,Bath,E30000165,% with NVQ4+ - aged 16-64,Numerator,49100.0,Normal Value
154,Jan 2015-Dec 2015,Bath,E30000165,% with NVQ4+ - aged 16-64,Denominator,105800.0,Normal Value
155,Jan 2015-Dec 2015,Bath,E30000165,% with NVQ4+ - aged 16-64,Confidence,3.0,Normal Value
156,Jan 2015-Dec 2015,Bath,E30000165,% with no qualifications (NVQ) - aged 16-64,Variable,2.6,Normal Value
157,Jan 2015-Dec 2015,Bath,E30000165,% with no qualifications (NVQ) - aged 16-64,Numerator,2700.0,Normal Value
158,Jan 2015-Dec 2015,Bath,E30000165,% with no qualifications (NVQ) - aged 16-64,Denominator,105800.0,Normal Value
159,Jan 2015-Dec 2015,Bath,E30000165,% with no qualifications (NVQ) - aged 16-64,Confidence,1.0,Normal Value
160,Jan 2015-Dec 2015,Bedford,E30000166,Economic activity rate - aged 16-64,Variable,82.8,Normal Value
161,Jan 2015-Dec 2015,Bedford,E30000166,Economic activity rate - aged 16-64,Numerator,114900.0,Normal Value
162,Jan 2015-Dec 2015,Bedford,E30000166,Economic activity rate - aged 16-64,Denominator,138800.0,Normal Value
163,Jan 2015-Dec 2015,Bedford,E30000166,Economic activity rate - aged 16-64,Confidence,3.5,Normal Value
164,Jan 2015-Dec 2015,Bedford,E30000166,Employment rate - aged 16-64,Variable,78.6,Normal Value
165,Jan 2015-Dec 2015,Bedford,E30000166,Employment rate - aged 16-64,Numerator,109100.0,Normal Value
166,Jan 2015-Dec 2015,Bedford,E30000166,Employment rate - aged 16-64,Denominator,138800.0,Normal Value
167,Jan 2015-Dec 2015,Bedford,E30000166,Employment rate - aged 16-64,Confidence,3.8,Normal Value
168,Jan 2015-Dec 2015,Bedford,E30000166,Unemployment rate - aged 16-64 ,Variable,5.1,Normal Value
169,Jan 2015-Dec 2015,Bedford,E30000166,Unemployment rate - aged 16-64 ,Numerator,5800.0,Normal Value
170,Jan 2015-Dec 2015,Bedford,E30000166,Unemployment rate - aged 16-64 ,Denominator,114900.0,Normal Value
171,Jan 2015-Dec 2015,Bedford,E30000166,Unemployment rate - aged 16-64 ,Confidence,2.2,Normal Value
172,Jan 2015-Dec 2015,Bedford,E30000166,% with NVQ4+ - aged 16-64,Variable,38.7,Normal Value
173,Jan 2015-Dec 2015,Bedford,E30000166,% with NVQ4+ - aged 16-64,Numerator,53600.0,Normal Value
174,Jan 2015-Dec 2015,Bedford,E30000166,% with NVQ4+ - aged 16-64,Denominator,138500.0,Normal Value
175,Jan 2015-Dec 2015,Bedford,E30000166,% with NVQ4+ - aged 16-64,Confidence,4.5,Normal Value
176,Jan 2015-Dec 2015,Bedford,E30000166,% with no qualifications (NVQ) - aged 16-64,Variable,7.1,Normal Value
177,Jan 2015-Dec 2015,Bedford,E30000166,% with no qualifications (NVQ) - aged 16-64,Numerator,9800.0,Normal Value
178,Jan 2015-Dec 2015,Bedford,E30000166,% with no qualifications (NVQ) - aged 16-64,Denominator,138500.0,Normal Value
179,Jan 2015-Dec 2015,Bedford,E30000166,% with no qualifications (NVQ) - aged 16-64,Confidence,2.4,Normal Value
180,Jan 2015-Dec 2015,Bideford,E30000167,Economic activity rate - aged 16-64,Variable,69.5,Normal Value
181,Jan 2015-Dec 2015,Bideford,E30000167,Economic activity rate - aged 16-64,Numerator,23100.0,Normal Value
182,Jan 2015-Dec 2015,Bideford,E30000167,Economic activity rate - aged 16-64,Denominator,33300.0,Normal Value
183,Jan 2015-Dec 2015,Bideford,E30000167,Economic activity rate - aged 16-64,Confidence,11.0,Normal Value
184,Jan 2015-Dec 2015,Bideford,E30000167,Employment rate - aged 16-64,Variable,62.8,Normal Value
185,Jan 2015-Dec 2015,Bideford,E30000167,Employment rate - aged 16-64,Numerator,20900.0,Normal Value
186,Jan 2015-Dec 2015,Bideford,E30000167,Employment rate - aged 16-64,Denominator,33300.0,Normal Value
187,Jan 2015-Dec 2015,Bideford,E30000167,Employment rate - aged 16-64,Confidence,11.6,Normal Value
188,Jan 2015-Dec 2015,Bideford,E30000167,Unemployment rate - aged 16-64 ,Variable,9.6,Normal Value
189,Jan 2015-Dec 2015,Bideford,E30000167,Unemployment rate - aged 16-64 ,Numerator,2200.0,Normal Value
190,Jan 2015-Dec 2015,Bideford,E30000167,Unemployment rate - aged 16-64 ,Denominator,23100.0,Normal Value
191,Jan 2015-Dec 2015,Bideford,E30000167,Unemployment rate - aged 16-64 ,Confidence,,Estimate and confidence interval unreliable since the group sample size is small (3-9)
192,Jan 2015-Dec 2015,Bideford,E30000167,% with NVQ4+ - aged 16-64,Variable,29.6,Normal Value
193,Jan 2015-Dec 2015,Bideford,E30000167,% with NVQ4+ - aged 16-64,Numerator,9900.0,Normal Value
194,Jan 2015-Dec 2015,Bideford,E30000167,% with NVQ4+ - aged 16-64,Denominator,33300.0,Normal Value
195,Jan 2015-Dec 2015,Bideford,E30000167,% with NVQ4+ - aged 16-64,Confidence,10.9,Normal Value
196,Jan 2015-Dec 2015,Bideford,E30000167,% with no qualifications (NVQ) - aged 16-64,Variable,11.4,Normal Value
197,Jan 2015-Dec 2015,Bideford,E30000167,% with no qualifications (NVQ) - aged 16-64,Numerator,3800.0,Normal Value
198,Jan 2015-Dec 2015,Bideford,E30000167,% with no qualifications (NVQ) - aged 16-64,Denominator,33300.0,Normal Value
199,Jan 2015-Dec 2015,Bideford,E30000167,% with no qualifications (NVQ) - aged 16-64,Confidence,,Estimate and confidence interval unreliable since the group sample size is small (3-9)
200,Jan 2015-Dec 2015,Birkenhead,E30000168,Economic activity rate - aged 16-64,Variable,72.1,Normal Value
201,Jan 2015-Dec 2015,Birkenhead,E30000168,Economic activity rate - aged 16-64,Numerator,151600.0,Normal Value
202,Jan 2015-Dec 2015,Birkenhead,E30000168,Economic activity rate - aged 16-64,Denominator,210200.0,Normal Value
203,Jan 2015-Dec 2015,Birkenhead,E30000168,Economic activity rate - aged 16-64,Confidence,3.0,Normal Value
204,Jan 2015-Dec 2015,Birkenhead,E30000168,Employment rate - aged 16-64,Variable,69.4,Normal Value
205,Jan 2015-Dec 2015,Birkenhead,E30000168,Employment rate - aged 16-64,Numerator,146000.0,Normal Value
206,Jan 2015-Dec 2015,Birkenhead,E30000168,Employment rate - aged 16-64,Denominator,210200.0,Normal Value
207,Jan 2015-Dec 2015,Birkenhead,E30000168,Employment rate - aged 16-64,Confidence,3.1,Normal Value
208,Jan 2015-Dec 2015,Birkenhead,E30000168,Unemployment rate - aged 16-64 ,Variable,3.7,Normal Value
209,Jan 2015-Dec 2015,Birkenhead,E30000168,Unemployment rate - aged 16-64 ,Numerator,5600.0,Normal Value
210,Jan 2015-Dec 2015,Birkenhead,E30000168,Unemployment rate - aged 16-64 ,Denominator,151600.0,Normal Value
211,Jan 2015-Dec 2015,Birkenhead,E30000168,Unemployment rate - aged 16-64 ,Confidence,1.5,Normal Value
212,Jan 2015-Dec 2015,Birkenhead,E30000168,% with NVQ4+ - aged 16-64,Variable,33.1,Normal Value
213,Jan 2015-Dec 2015,Birkenhead,E30000168,% with NVQ4+ - aged 16-64,Numerator,69400.0,Normal Value
214,Jan 2015-Dec 2015,Birkenhead,E30000168,% with NVQ4+ - aged 16-64,Denominator,209700.0,Normal Value
215,Jan 2015-Dec 2015,Birkenhead,E30000168,% with NVQ4+ - aged 16-64,Confidence,3.1,Normal Value
216,Jan 2015-Dec 2015,Birkenhead,E30000168,% with no qualifications (NVQ) - aged 16-64,Variable,8.3,Normal Value
217,Jan 2015-Dec 2015,Birkenhead,E30000168,% with no qualifications (NVQ) - aged 16-64,Numerator,17400.0,Normal Value
218,Jan 2015-Dec 2015,Birkenhead,E30000168,% with no qualifications (NVQ) - aged 16-64,Denominator,209700.0,Normal Value
219,Jan 2015-Dec 2015,Birkenhead,E30000168,% with no qualifications (NVQ) - aged 16-64,Confidence,1.8,Normal Value
220,Jan 2015-Dec 2015,Birmingham,E30000169,Economic activity rate - aged 16-64,Variable,71.0,Normal Value
221,Jan 2015-Dec 2015,Birmingham,E30000169,Economic activity rate - aged 16-64,Numerator,769000.0,Normal Value
222,Jan 2015-Dec 2015,Birmingham,E30000169,Economic activity rate - aged 16-64,Denominator,1083300.0,Normal Value
223,Jan 2015-Dec 2015,Birmingham,E30000169,Economic activity rate - aged 16-64,Confidence,1.6,Normal Value
224,Jan 2015-Dec 2015,Birmingham,E30000169,Employment rate - aged 16-64,Variable,65.6,Normal Value
225,Jan 2015-Dec 2015,Birmingham,E30000169,Employment rate - aged 16-64,Numerator,710600.0,Normal Value
226,Jan 2015-Dec 2015,Birmingham,E30000169,Employment rate - aged 16-64,Denominator,1083300.0,Normal Value
227,Jan 2015-Dec 2015,Birmingham,E30000169,Employment rate - aged 16-64,Confidence,1.7,Normal Value
228,Jan 2015-Dec 2015,Birmingham,E30000169,Unemployment rate - aged 16-64 ,Variable,7.6,Normal Value
229,Jan 2015-Dec 2015,Birmingham,E30000169,Unemployment rate - aged 16-64 ,Numerator,58400.0,Normal Value
230,Jan 2015-Dec 2015,Birmingham,E30000169,Unemployment rate - aged 16-64 ,Denominator,769000.0,Normal Value
